OD;Abolição;Acari;Alto da Boa Vista;Anchieta;Andaraí;Anil;Bancários;Bangu;Barra da Tijuca;Barra de Guaratiba;Barros Filho;Benfica;Bento Ribeiro;Bonsucesso;Botafogo;Brás de Pina;Cachambi;Cacuia;Caju;Camorim;Campinho;Campo Grande;Campo dos Afonsos;Cascadura;Catete;Catumbi;Cavalcanti;Centro;Cidade Nova;Cidade Universitária;Cidade de Deus;Cocotá;Coelho Neto;Colégio;Complexo do Alemão;Copacabana;Cordovil;Cosme Velho;Cosmos;Costa Barros;Curicica;Del Castilho;Deodoro;Encantado;Engenheiro Leal;Engenho Novo;Engenho da Rainha;Engenho de Dentro;Estácio;Flamengo;Freguesia (Ilha);Freguesia (Jacarepaguá);Galeão;Gamboa;Gardênia Azul;Gericinó;Glória;Grajaú;Grumari;Guadalupe;Guaratiba;Gávea;Higienópolis;Honório Gurgel;Hunaitá;Inhaúma;Inhoaíba;Ipanema;Irajá;Itanhangá;Jabour;Jacarepaguá;Jacarezinho;Jacaré;Jardim América;Jardim Botânico;Jardim Carioca;Jardim Guanabara;Jardim Sulacap;Joá;Lapa;Lagoa;Laranjeiras;Leblon;Leme;Lins de Vasconcelos;Madureira;Magalhães Bastos;Mangueira;Manguinhos;Maracanã;Marechal Hermes;Maria da Graça;Maré;Moneró;Méier;Olaria;Osvaldo Cruz;Paciência;Padre Miguel;Parada de Lucas;Parque Anchieta;Parque Colúmbia;Pavuna;Pechincha;Pedra de Guaratiba;Penha;Penha Circular;Piedade;Pilares;Pitangueiras;Portuguesa;Praia da Bandeira;Praça Seca;Praça da Bandeira;Quintino Bocaiúva;Ramos;Realengo;Recreio dos Bandeirantes;Riachuelo;Ribeira;Ricardo de Albuquerque;Rio Comprido;Rocha;Rocha Miranda;Rocinha;Sampaio;Santa Cruz;Santa Teresa;Santo Cristo;Santíssimo;Saúde;Senador Camará;Senador Vasconcelos;Sepetiba;São Conrado;São Cristóvão;São Francisco Xavier;Tanque;Taquara;Tauá;Tijuca;Todos os Santos;Tomás Coelho;Turiaçu;Urca;Vargem Grande;Vargem Pequena;Vasco da Gama;Vaz Lobo;Vicente de Carvalho;Vidigal;Vigário Geral;Vila Isabel;Vila Kennedy;Vila Kosmos;Vila Militar;Vila Valqueire;Vila da Penha;Vista Alegre;Zumbi;Água Santa
Abolição;1509.293;;;;238.432;;;;260.035;;81.961;;;;;;;;1612.904;;;;;;;;;;;;;;;;;66.401;;;;;;1690.562;7.291;;;;917.979;975.232;;;;;;32.306;;;;;;;;;;;;;;;32.346;;;;;;;;;;;;;;;;;;347.994;;;36.402;222.868;;69.404;;;329.315;;237.173;;;;;;;;;;160.929;177.653;;;;;;;;;196.337;;;;;73.748;;;;;;;;;;;;;;896.177;;;;;;65.24;;;;;;;;;;;;;231.393;;43.445;;;;
Acari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alto da Boa Vista;;;5901.867;;8.726;14;;;1940.426;;;;;;;;;;135.109;4.612;;193.008;;;156.063;;;;108.252;;;;36.908;;181.83;1452.98;;;;;352.266;;20.883;59.366;;29.763;;19.186;73.113;293.05;;39.085;;;;;7.465;9.991;;;74.782;2147.151;;;491.167;;;1543.44;;210.362;;601.111;;;101.123;258.664;;;;;558.264;;602.231;1047.153;;;5.098;149.339;;116.313;430.552;44.966;;208.613;;438.523;;54.474;;;70.161;;;94.584;;;;460.765;2.363;;;;;;45.993;141.435;;83.466;45.875;;;215.358;1168.837;;;;;;26.01;;;;;;;156.995;257.961;;4.51;;;1589.764;13.028;;;221.709;;;;;;;9.22;42.866;;646.784;;;;;;
Anchieta;;;;3163.192;;;;559.005;302.014;;;;;;;80.109;;;215.679;;;;;;74.496;;;;;1267.762;;;;;;51.958;;;;;;;217.864;;;;;119.106;146.016;186.305;;77.408;112.188;;;;;;;1558.892;;71.611;;146.016;;;;;205.563;;;;;;;;;;;;157.246;;;;;;205.64;280.959;;284.158;85.557;1648.64;;175.928;;146.016;;285.154;;;;2524.967;;1774.722;98.198;;103.913;;;;;;;;;;;233.416;48.734;;;295.347;;;;;;217.852;;45.176;;75.294;;;;;814.7;;143.704;;;;147.811;;;;;;;;;;;;;698.851;119.883;310.937;;;;
Andaraí;159.51;;11.633;;;54.854;;348.079;71.266;;;;;72.007;;;;;38.289;;;;;;228.808;;;;746.349;;;;;52.5;82.763;191.226;;;;;139.6;;;;;180.578;;605.422;80.31;116.501;;;;67.276;;;;731.377;;;;129.585;;;;;;;12.961;;;82.44;;;;;;;;;22.251;;;;;;136.518;;36.692;;1274.171;;156.041;297.451;;1249.12;;;;;;;;;;;29.91;155.467;129.712;;;;;301.45;262.612;;;;155.411;;;;;;;;;;251.019;30.294;;;;;;20.166;22.908;;;;189.821;2536.611;;;31.356;;;;;;;;287.457;2710.632;;;211.097;;;;;
Anil;;;18.288;;122.965;122.965;;;1661.366;;;;;;;;;;;;;;;;;;;;135.514;;475.151;;;;;61.119;;;;;;;;;;;;;;;;1143.291;;;;;;;;;;;;;;;;66.32;182.418;58.866;;908.13;;;;;;;;;;;;739.734;;;;;;;;;;;;217.61;;;;;;;;;157.905;;;;;;;;;252.936;;149.842;;54.771;283.053;;;;;;;;;;;;;;;;;146.706;;;169.117;;;;;;;;;;;;;199.208;;;;;;133.88;;;;
Bancários;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bangu;;;240.947;771.91;452.04;;;128170.031;6994.504;;105.099;;1733.267;886.388;;;;;1209.884;;485.548;40981.057;1690.023;1017.357;415.148;;;;424.28;571.656;284.626;;;;;1132.724;;;2455.224;313.053;165.707;1140.935;1740.845;;;104.626;2481.577;789.154;;137.91;;1158.66;756.214;;;;1928.84;387.552;;1521.424;63.394;2373.511;;363.566;;;239.217;1573.03;4937.879;48.619;;308.754;60.618;;288.63;;;;1982.835;;1793.885;;220.66;2460.76;339.733;;4272.042;5324.75;78.484;313.895;2922.775;4703;1047.625;557.359;;1514.3;;825.983;956.664;;325.061;360.611;;1513.661;416.161;363.543;742.266;970.373;521.473;;;;;;329.245;414.472;569.249;14901.911;479.021;;;228.012;;202.187;;;;4822.749;;20.029;2530.022;528.092;6858.492;4560.872;152.021;4.805;786.768;;;;;1006.319;492.597;;178.673;;1591.685;;;;;;147.327;322.618;;365.808;144.819;4948.145;;;;
Barra da Tijuca;759.015;;2477.125;919.766;100.799;2393.018;;5263.483;90840.1;;206.28;;402.314;429.074;;;678.412;;1613.89;1504.552;198.11;4747.836;270.388;1514.257;407.34;;;;294.158;2753.026;5649.343;;450.072;;298.684;5050.651;;;277.85;650.532;3751.895;926.585;56.039;52.859;;356.942;1623.251;1317.804;139.808;1319.053;;9859.963;1978.925;1187.384;;;205.323;1648.248;3.901;418.936;5317.937;11389.657;;277.85;390.895;138.644;;8662.131;1218.755;7779.384;;20736.225;86.091;;40.075;175.297;;720.324;370.757;;1541.398;;2326.272;6516.091;255.465;;2100.579;206.392;;626.82;3235.494;1082.95;;2711.987;;848.128;128.112;107.728;175.001;;;;;3046.137;2233.326;727.313;535.821;1930.358;1334.171;;;;;2948.405;900.996;171.781;1216.786;225.63;14932.86;584.07;;12.637;40.969;46.022;234.117;;213.997;6512.811;806.174;166.817;452.556;612.053;228.734;169.13;1146.171;3295.192;1041.158;;3990.861;;958.923;6367.628;216.328;;46.289;341.407;1955.725;1662.913;;;434.867;;78.068;4162.91;;96.997;;3102.556;;;;
Barra de Guaratiba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barros Filho;121.38;;;;;;;873.499;67.443;;958.32;;542.687;87.659;;;;;67.214;;;74.291;;239.638;54.149;;;;39.476;33.523;;;53.539;;;51.046;247.898;;;;;335.265;64.979;;;;;;;;;203.029;11.452;92.687;;;;;;322.623;;;;108.298;;;;112.759;758.153;;;30.653;;;;;;;;;;;;65.45;;;347.053;;;;;965.902;;;;;;;;;;;;444.7;;;;38.536;;;;;;;71.1;;;134.651;;;;;;;93.423;;;;;;;;;;;;94.955;;;;;;54.149;;157.131;;;;;;;;;;;;;;;;;
Benfica;;;;;;;;;;;;470.258;;26.827;;;395.911;;66.32;23.614;;;;;;;;;;431.294;;;;;;57.863;;;;;;325.439;;;;76.947;;104.01;;;;;;;;;;;;;;;;;;;;;;;;;171.271;;;;;96.736;;;;;105.934;20.865;;;;80.951;;52.86;;139.539;64.43;;;145.948;;;;;;;;;;;;89.792;;;;;;;;104.8;;;;66.285;;;;;;;;;;;;;;;;;288.805;;;;;106.198;91.328;;;;;;;;;;;53.767;;;;;;;;
Bento Ribeiro;;;;;;;;1445.834;260.252;;401.332;;3098.962;154.051;;;;;420.6;186.407;81.872;1326.22;5.443;1020.472;;;;;;;;;;;403.985;;113.237;;;;;;14.858;;27.71;;;;;171.269;;;;;;;;887.381;;322.544;6.809;;;264.028;;;105.26;;908.929;;;162.355;81.343;;;;;;323.669;;;;;;;;3823.895;229.202;;;700.606;2156.014;;;;105.26;;2026.265;;;;;;333.214;;;;;;;;;;;319.765;141.623;127.63;1106.646;;;;;;;341.428;;25.62;;;;;626.221;;;;;61.673;;;;;;192.066;;60.299;;;;;;;;;;;;164.522;3973.682;;;;
Bonsucesso;;;;;110.023;;;1295.401;392.086;;74.482;87.728;329.81;2291.898;;90.434;;;40.571;;67.705;839.882;;362.445;179.229;;;;88.179;391.008;;;;;1151.592;321.674;144.124;;;;;1444.683;30.228;;;325.177;1352.796;457.335;61.518;;134.924;;416.841;47.198;;;;702.001;;65.616;;;;;;;;118.592;2226.569;;;209.521;2063.857;;;;;;;;18.026;;202.009;;;;651.384;265.025;;813.766;561.937;;307.703;4024.788;;763.398;687.746;;;;67.906;225.414;;180.965;;;2133.212;1108.842;191.79;;;;;;61.518;105.268;746.12;;125.432;100.451;;;27.935;193.16;721.887;;;28.886;69.516;;;58.786;;;;;618.231;;243.852;;;3240.575;20.191;;146.387;;;;;;;;;351.053;;295.915;;263.895;;;;
Botafogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
