route_id,edge_id,DELTA
1,1,1
1,2,1
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,1
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,1,1
3,2,0
3,3,1
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
4,1,1
4,2,0
4,3,0
4,4,1
4,5,1
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
5,1,1
5,2,0
5,3,0
5,4,1
5,5,0
5,6,1
5,7,1
5,8,1
5,9,0
5,10,0
6,1,1
6,2,0
6,3,0
6,4,1
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
7,1,1
7,2,0
7,3,1
7,4,0
7,5,1
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
8,1,1
8,2,0
8,3,1
8,4,0
8,5,0
8,6,1
8,7,1
8,8,1
8,9,0
8,10,0
9,1,1
9,2,0
9,3,1
9,4,0
9,5,0
9,6,1
9,7,0
9,8,0
9,9,0
9,10,0
10,1,1
10,2,0
10,3,0
10,4,1
10,5,0
10,6,0
10,7,1
10,8,1
10,9,0
10,10,0
11,1,1
11,2,0
11,3,1
11,4,0
11,5,1
11,6,0
11,7,1
11,8,1
11,9,0
11,10,0
12,1,1
12,2,0
12,3,0
12,4,1
12,5,1
12,6,1
12,7,0
12,8,0
12,9,0
12,10,0
13,1,1
13,2,0
13,3,0
13,4,1
13,5,0
13,6,0
13,7,1
13,8,0
13,9,0
13,10,0
14,1,1
14,2,0
14,3,1
14,4,0
14,5,1
14,6,0
14,7,1
14,8,0
14,9,0
14,10,0
15,1,1
15,2,0
15,3,1
15,4,0
15,5,0
15,6,1
15,7,0
15,8,1
15,9,0
15,10,0
16,1,1
16,2,0
16,3,0
16,4,1
16,5,1
16,6,1
16,7,0
16,8,1
16,9,0
16,10,0
17,1,1
17,2,0
17,3,1
17,4,0
17,5,0
17,6,1
17,7,0
17,8,0
17,9,1
17,10,0
18,1,1
18,2,0
18,3,0
18,4,1
18,5,0
18,6,0
18,7,1
18,8,1
18,9,1
18,10,0
19,1,1
19,2,0
19,3,1
19,4,0
19,5,1
19,6,0
19,7,1
19,8,1
19,9,1
19,10,0
20,1,1
20,2,0
20,3,0
20,4,1
20,5,1
20,6,1
20,7,0
20,8,0
20,9,1
20,10,0
21,1,1
21,2,0
21,3,0
21,4,1
21,5,0
21,6,0
21,7,1
21,8,0
21,9,0
21,10,1
22,1,1
22,2,0
22,3,1
22,4,0
22,5,1
22,6,0
22,7,1
22,8,0
22,9,0
22,10,1
23,1,1
23,2,0
23,3,1
23,4,0
23,5,0
23,6,1
23,7,0
23,8,1
23,9,0
23,10,1
24,1,1
24,2,0
24,3,0
24,4,1
24,5,1
24,6,1
24,7,0
24,8,1
24,9,0
24,10,1
25,1,0
25,2,1
25,3,0
25,4,0
25,5,0
25,6,0
25,7,0
25,8,0
25,9,0
25,10,0
26,1,0
26,2,1
26,3,1
26,4,0
26,5,0
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
27,1,0
27,2,1
27,3,0
27,4,1
27,5,1
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
28,1,0
28,2,1
28,3,0
28,4,1
28,5,0
28,6,1
28,7,1
28,8,1
28,9,0
28,10,0
29,1,0
29,2,1
29,3,0
29,4,1
29,5,0
29,6,0
29,7,0
29,8,0
29,9,0
29,10,0
30,1,0
30,2,1
30,3,1
30,4,0
30,5,1
30,6,0
30,7,0
