id,sequence,length,num_stops
1,"[1, 2, 4, 6, 3]",18,5
2,"[1, 2, 5, 4, 6, 3]",25,6
3,"[1, 2, 3, 6, 4]",17,5
4,"[1, 2, 5, 4]",18,4
5,"[1, 2, 4, 5]",15,4
6,"[1, 2, 3, 6, 4, 5]",21,6
7,"[1, 2, 3, 6]",13,4
8,"[1, 2, 4, 6]",15,4
9,"[1, 2, 5, 4, 6]",22,5
10,"[1, 2, 3, 6, 15, 7]",18,6
11,"[1, 2, 3, 6, 8, 15, 7]",19,7
12,"[1, 2, 4, 6, 15, 7]",20,6
13,"[1, 2, 4, 6, 8, 15, 7]",21,7
14,"[1, 2, 5, 4, 6, 15, 7]",27,7
15,"[1, 2, 3, 6, 8, 10, 7]",30,7
16,"[1, 2, 4, 6, 8, 10, 7]",32,7
17,"[1, 2, 4, 12, 11, 10, 7]",43,7
18,"[1, 2, 3, 6, 8]",15,5
19,"[1, 2, 4, 6, 8]",17,5
20,"[1, 2, 3, 6, 15, 8]",18,6
21,"[1, 2, 4, 6, 15, 8]",20,6
22,"[1, 2, 5, 4, 6, 8]",24,6
23,"[1, 2, 5, 4, 6, 15, 8]",27,7
24,"[1, 2, 4, 12, 11, 10, 8]",44,7
25,"[1, 2, 3, 6, 15, 9]",24,6
26,"[1, 2, 3, 6, 8, 15, 9]",25,7
27,"[1, 2, 4, 6, 15, 9]",26,6
28,"[1, 2, 4, 6, 8, 15, 9]",27,7
29,"[1, 2, 5, 4, 6, 15, 9]",33,7
30,"[1, 2, 3, 6, 8, 10]",23,6
31,"[1, 2, 4, 6, 8, 10]",25,6
32,"[1, 2, 3, 6, 15, 7, 10]",25,7
33,"[1, 2, 3, 6, 15, 8, 10]",26,7
34,"[1, 2, 4, 6, 15, 7, 10]",27,7
35,"[1, 2, 4, 6, 15, 8, 10]",28,7
36,"[1, 2, 5, 4, 6, 8, 10]",32,7
37,"[1, 2, 4, 12, 11, 10]",36,6
38,"[1, 2, 5, 4, 12, 11, 10]",43,7
39,"[1, 2, 4, 12, 11, 13, 10]",46,7
40,"[1, 2, 3, 6, 8, 10, 11]",28,7
41,"[1, 2, 4, 6, 8, 10, 11]",30,7
42,"[1, 2, 4, 12, 11]",31,5
43,"[1, 2, 3, 6, 4, 12, 11]",37,7
44,"[1, 2, 5, 4, 12, 11]",38,6
45,"[1, 2, 4, 12]",21,4
46,"[1, 2, 3, 6, 4, 12]",27,6
47,"[1, 2, 5, 4, 12]",28,5
48,"[1, 2, 3, 6, 8, 10, 13]",33,7
49,"[1, 2, 4, 6, 8, 10, 13]",35,7
50,"[1, 2, 4, 12, 11, 13]",36,6
51,"[1, 2, 5, 4, 12, 11, 13]",43,7
52,"[1, 2, 4, 12, 11, 10, 13]",46,7
53,"[1, 2, 3, 6, 8, 10, 14]",31,7
54,"[1, 2, 4, 6, 8, 10, 14]",33,7
55,"[1, 2, 4, 12, 11, 13, 14]",38,7
56,"[1, 2, 4, 12, 11, 10, 14]",44,7
57,"[1, 2, 3, 6, 15]",16,5
58,"[1, 2, 3, 6, 8, 15]",17,6
59,"[1, 2, 4, 6, 15]",18,5
60,"[1, 2, 4, 6, 8, 15]",19,6
61,"[1, 2, 5, 4, 6, 15]",25,6
62,"[1, 2, 5, 4, 6, 8, 15]",26,7
63,"[2, 4, 6, 3]",10,4
64,"[2, 5, 4, 6, 3]",17,5
65,"[2, 3, 6, 4]",9,4
66,"[2, 3, 6, 4, 5]",13,5
67,"[2, 5, 4, 6]",14,4
68,"[2, 4, 12, 11, 10, 8, 6]",38,7
69,"[2, 3, 6, 15, 7]",10,5
70,"[2, 3, 6, 8, 15, 7]",11,6
71,"[2, 4, 6, 15, 7]",12,5
72,"[2, 4, 6, 8, 15, 7]",13,6
73,"[2, 5, 4, 6, 15, 7]",19,6
74,"[2, 5, 4, 6, 8, 15, 7]",20,7
75,"[2, 3, 6, 8, 10, 7]",22,6
76,"[2, 4, 6, 8, 10, 7]",24,6
77,"[2, 3, 6, 15, 8, 10, 7]",25,7
78,"[2, 4, 6, 15, 8, 10, 7]",27,7
79,"[2, 5, 4, 6, 8, 10, 7]",31,7
80,"[2, 4, 12, 11, 10, 7]",35,6
81,"[2, 5, 4, 12, 11, 10, 7]",42,7
82,"[2, 4, 12, 11, 13, 10, 7]",45,7
83,"[2, 3, 6, 8]",7,4
84,"[2, 4, 6, 8]",9,4
85,"[2, 3, 6, 15, 8]",10,5
86,"[2, 4, 6, 15, 8]",12,5
87,"[2, 5, 4, 6, 8]",16,5
88,"[2, 5, 4, 6, 15, 8]",19,6
89,"[2, 3, 6, 15, 7, 10, 8]",25,7
90,"[2, 4, 6, 15, 7, 10, 8]",27,7
91,"[2, 4, 12, 11, 10, 8]",36,6
92,"[2, 5, 4, 12, 11, 10, 8]",43,7
93,"[2, 4, 12, 11, 13, 10, 8]",46,7
94,"[2, 3, 6, 15, 9]",16,5
95,"[2, 3, 6, 8, 15, 9]",17,6
96,"[2, 4, 6, 15, 9]",18,5
97,"[2, 4, 6, 8, 15, 9]",19,6
98,"[2, 5, 4, 6, 15, 9]",25,6
99,"[2, 5, 4, 6, 8, 15, 9]",26,7
100,"[2, 3, 6, 8, 10]",15,5
101,"[2, 4, 6, 8, 10]",17,5
102,"[2, 3, 6, 15, 7, 10]",17,6
103,"[2, 3, 6, 8, 15, 7, 10]",18,7
104,"[2, 3, 6, 15, 8, 10]",18,6
105,"[2, 4, 6, 15, 7, 10]",19,6
106,"[2, 4, 6, 8, 15, 7, 10]",20,7
107,"[2, 4, 6, 15, 8, 10]",20,6
108,"[2, 5, 4, 6, 8, 10]",24,6
109,"[2, 5, 4, 6, 15, 7, 10]",26,7
110,"[2, 5, 4, 6, 15, 8, 10]",27,7
111,"[2, 4, 12, 11, 10]",28,5
112,"[2, 3, 6, 4, 12, 11, 10]",34,7
113,"[2, 5, 4, 12, 11, 10]",35,6
114,"[2, 4, 12, 11, 13, 10]",38,6
115,"[2, 4, 12, 11, 13, 14, 10]",38,7
116,"[2, 5, 4, 12, 11, 13, 10]",45,7
