id,x,y
1,-43.3977194,-22.8330117
2,-43.483133,-22.8701946
3,-43.4351403,-22.9943209
4,-43.1818451,-22.9433075
5,-43.5567224,-22.8933183
6,-43.1787096,-22.9063717
7,-43.3630854,-22.9482694
8,-43.2423405,-22.8596216
9,-43.2743591,-22.8618663
10,-43.1832686,-22.9692167
11,-43.5905823,-22.9934913
12,-43.2125129,-22.8112128
13,-43.2832053,-22.8714642
14,-43.3220281,-22.8406334
15,-43.3719764,-22.935367
16,-43.2583138,-22.8869753
17,-43.2327971,-22.9843429
18,-43.3425459,-22.8701799
19,-43.2858449,-22.8997237
20,-43.3564955,-22.8199077
21,-43.284717,-22.8335587
22,-43.1990603,-22.8974032
23,-43.2575917,-22.8602234
24,-43.4136915,-22.8764745
25,-43.2061145,-22.9220807
26,-43.2494187,-22.9889073
27,-43.6943658,-22.9162521
28,-43.19913,-22.9326598
29,-43.2282902,-22.897886
30,-43.2524391,-22.9570421
31,-43.3052838,-22.8135858
32,-43.2562633,-22.923616
