id,od,sequence,length,num_stops
1,1,"[1, 24, 2]",15686.326,3
2,1,"[1, 18, 15, 2]",37937.41799999999,4
3,1,"[1, 24, 15, 2]",36126.87049999999,4
4,1,"[1, 18, 24, 2]",28409.900499999996,4
5,1,"[1, 20, 18, 15, 2]",41531.75549999999,5
6,1,"[1, 18, 15, 3, 2]",56009.03099999999,5
7,1,"[1, 24, 18, 15, 2]",45270.55249999999,5
8,1,"[1, 24, 15, 3, 2]",54198.483499999995,5
9,1,"[1, 18, 19, 15, 2]",49163.83899999999,5
10,1,"[1, 18, 24, 15, 2]",48850.44499999999,5
11,2,"[1, 18, 15, 3]",30432.62549999999,4
12,2,"[1, 24, 2, 3]",41262.7315,4
13,2,"[1, 24, 15, 3]",28622.077999999994,4
14,2,"[1, 18, 19, 15, 3]",41659.0465,5
15,2,"[1, 18, 15, 2, 3]",63513.82349999999,5
16,2,"[1, 20, 18, 15, 3]",34026.96299999999,5
17,2,"[1, 24, 2, 5, 3]",57663.716,5
18,2,"[1, 24, 18, 15, 3]",37765.759999999995,5
19,2,"[1, 24, 15, 2, 3]",61703.27599999999,5
20,2,"[1, 18, 24, 2, 3]",53986.306,5
21,3,"[1, 18, 15, 30, 4]",71006.27949999998,5
22,3,"[1, 24, 15, 30, 4]",69195.73199999999,5
23,3,"[1, 18, 19, 15, 30, 4]",82232.70049999998,6
24,3,"[1, 18, 15, 3, 17, 4]",69147.85850000002,6
25,3,"[1, 18, 15, 30, 17, 4]",83385.89449999998,6
26,3,"[1, 20, 18, 15, 30, 4]",74600.61699999997,6
27,3,"[1, 24, 2, 3, 17, 4]",79977.96450000002,6
28,3,"[1, 24, 15, 3, 17, 4]",67337.31100000002,6
29,3,"[1, 24, 15, 30, 17, 4]",81575.347,6
30,3,"[1, 18, 24, 15, 30, 4]",81919.30649999998,6
31,4,"[1, 18, 15, 5]",46672.757,4
32,4,"[1, 24, 2, 5]",25571.595499999996,4
33,4,"[1, 24, 15, 5]",44862.2095,4
34,4,"[1, 18, 19, 15, 5]",57899.178,5
35,4,"[1, 18, 15, 2, 5]",47822.687499999985,5
36,4,"[1, 20, 18, 15, 5]",50267.0945,5
37,4,"[1, 24, 2, 3, 5]",73354.85200000001,5
38,4,"[1, 24, 18, 15, 5]",54005.8915,5
39,4,"[1, 24, 15, 2, 5]",46012.139999999985,5
40,4,"[1, 18, 24, 2, 5]",38295.16999999999,5
41,5,"[1, 18, 13, 21, 8]",33164.84,5
42,5,"[1, 20, 14, 21, 8]",23719.922499999997,5
