id,sequence,length,num_stops
1,"[1, 48, 86, 58, 5]",13558.7445,5
2,"[1, 48, 96, 46, 154, 5]",13880.632,6
3,"[1, 48, 96, 46, 58, 5]",14054.7255,6
4,"[1, 44, 48, 86, 58, 5]",14055.623,6
5,"[1, 48, 86, 46, 154, 5]",14270.858000000002,6
6,"[1, 44, 48, 96, 46, 154, 5]",14377.510500000002,7
7,"[1, 48, 86, 46, 58, 5]",14444.951500000003,6
8,"[1, 44, 48, 96, 46, 58, 5]",14551.604000000003,7
9,"[1, 44, 48, 86, 46, 154, 5]",14767.7365,7
10,"[1, 44, 48, 86, 46, 58, 5]",14941.830000000002,7
11,"[1, 48, 72, 9]",26181.942,4
12,"[1, 44, 48, 72, 9]",26678.820499999998,5
13,"[1, 44, 162, 72, 9]",27530.713999999996,5
14,"[1, 110, 48, 72, 9]",28274.2195,5
15,"[1, 109, 52, 72, 9]",28424.5645,5
16,"[1, 44, 162, 52, 72, 9]",28720.624,6
17,"[1, 109, 162, 72, 9]",28856.274999999998,5
18,"[1, 48, 162, 72, 9]",28894.969499999996,5
19,"[1, 44, 109, 52, 72, 9]",28908.342,6
20,"[1, 109, 44, 48, 72, 9]",29049.372,6
21,"[1, 110, 144, 151, 150, 125, 64, 11]",15208.4705,8
22,"[1, 110, 144, 27, 45, 87, 145, 125, 64, 11]",15727.3855,10
23,"[1, 110, 144, 27, 87, 145, 125, 64, 11]",15727.3855,9
24,"[1, 110, 144, 151, 69, 33, 11]",15801.014,7
25,"[1, 110, 144, 151, 150, 145, 125, 64, 11]",16174.353,9
26,"[1, 110, 144, 27, 150, 125, 64, 11]",16253.4795,8
27,"[1, 110, 144, 151, 150, 125, 33, 11]",16306.837500000001,8
28,"[1, 110, 144, 27, 45, 87, 145, 125, 33, 11]",16825.752500000002,10
29,"[1, 110, 144, 27, 87, 145, 125, 33, 11]",16825.752500000002,9
30,"[1, 110, 144, 151, 69, 125, 64, 11]",16925.7635,8
31,"[1, 48, 17, 73, 12, 19]",17137.650999999998,6
32,"[1, 48, 17, 93, 73, 12, 19]",17591.873,7
33,"[1, 44, 48, 17, 73, 12, 19]",17634.529499999997,7
34,"[1, 48, 17, 74, 124, 12, 19]",17779.078999999998,7
35,"[1, 44, 48, 17, 93, 73, 12, 19]",18088.7515,8
36,"[1, 48, 143, 17, 73, 12, 19]",18260.8295,7
37,"[1, 44, 48, 17, 74, 124, 12, 19]",18275.957499999997,8
38,"[1, 48, 96, 17, 73, 12, 19]",18463.941999999995,7
39,"[1, 48, 143, 17, 93, 73, 12, 19]",18715.0515,8
40,"[1, 44, 48, 143, 17, 73, 12, 19]",18757.708,8
41,"[1, 48, 96, 46, 154, 91, 115, 29, 129, 15, 36]",31278.958,11
42,"[1, 48, 96, 46, 154, 91, 115, 29, 129, 83, 15, 36]",31278.958,12
43,"[1, 48, 96, 46, 154, 91, 115, 123, 129, 15, 36]",31312.811,11
44,"[1, 48, 96, 46, 154, 91, 115, 123, 129, 83, 15, 36]",31312.811,12
45,"[1, 48, 96, 46, 154, 142, 123, 129, 15, 36]",31502.96,10
46,"[1, 48, 96, 46, 154, 142, 123, 129, 83, 15, 36]",31502.96,11
47,"[1, 48, 86, 46, 154, 91, 115, 29, 129, 15, 36]",31669.184,11
48,"[1, 48, 86, 46, 154, 91, 115, 29, 129, 83, 15, 36]",31669.184,12
49,"[1, 48, 86, 46, 154, 91, 115, 123, 129, 15, 36]",31703.037000000004,11
50,"[1, 48, 86, 46, 154, 91, 115, 123, 129, 83, 15, 36]",31703.037000000004,12
51,"[1, 48, 17, 42]",8650.8945,4
52,"[1, 44, 48, 17, 42]",9147.773,5
53,"[1, 110, 66, 42]",9195.961,4
54,"[1, 110, 47, 66, 42]",9641.886999999999,5
55,"[1, 48, 17, 93, 42]",9717.034500000002,5
56,"[1, 48, 143, 17, 42]",9774.073,5
57,"[1, 110, 144, 47, 66, 42]",9820.2905,6
58,"[1, 48, 96, 17, 42]",9977.1855,5
59,"[1, 44, 48, 17, 93, 42]",10213.913,6
60,"[1, 44, 48, 143, 17, 42]",10270.9515,6
61,"[1, 109, 116, 24, 21, 13, 92, 43]",17979.125500000002,8
62,"[1, 110, 144, 27, 87, 98, 13, 92, 43]",18450.7435,9
63,"[1, 110, 144, 27, 45, 87, 98, 13, 92, 43]",18450.7435,10
64,"[1, 44, 109, 116, 24, 21, 13, 92, 43]",18462.903,9
65,"[1, 109, 116, 24, 21, 98, 13, 92, 43]",18543.3465,9
66,"[1, 44, 109, 116, 24, 21, 98, 13, 92, 43]",19027.124,10
67,"[1, 110, 144, 27, 87, 21, 13, 92, 43]",19950.526,9
68,"[1, 110, 144, 27, 45, 87, 21, 13, 92, 43]",19950.526,10
69,"[1, 110, 109, 116, 24, 21, 13, 92, 43]",20060.6415,9
70,"[1, 109, 116, 24, 21, 158, 92, 43]",20445.72,8
71,"[1, 110, 47]",4507.4175,3
72,"[1, 110, 144, 47]",4685.821,4
73,"[1, 110, 66, 47]",8054.0945,4
74,"[1, 109, 144, 47]",10363.531,4
75,"[1, 109, 110, 47]",10537.6165,4
76,"[1, 109, 110, 144, 47]",10716.019999999999,5
77,"[1, 48, 110, 47]",10792.970000000001,4
78,"[1, 44, 109, 144, 47]",10847.308500000001,5
79,"[1, 48, 110, 144, 47]",10971.3735,5
80,"[1, 44, 109, 110, 47]",11021.393999999998,5
81,"[1, 48]",3220.349,2
82,"[1, 44, 48]",3717.2275,3
83,"[1, 110, 48]",5312.6265,3
84,"[1, 109, 44, 48]",6087.779,4
85,"[1, 44, 162, 48]",6674.151499999999,4
86,"[1, 109, 162, 48]",7999.7125,4
87,"[1, 110, 109, 44, 48]",8169.295,5
88,"[1, 44, 109, 162, 48]",8483.489999999998,5
89,"[1, 109, 44, 162, 48]",9044.703,5
90,"[1, 109, 162, 44, 48]",9263.701500000001,5
91,"[1, 48, 17, 73, 12, 137, 130, 54]",21527.154000000002,8
92,"[1, 48, 17, 93, 73, 12, 137, 130, 54]",21981.376000000004,9
93,"[1, 44, 48, 17, 73, 12, 137, 130, 54]",22024.0325,9
94,"[1, 48, 17, 74, 124, 12, 137, 130, 54]",22168.582000000002,9
95,"[1, 44, 48, 17, 93, 73, 12, 137, 130, 54]",22478.254500000003,10
96,"[1, 48, 143, 17, 73, 12, 137, 130, 54]",22650.332500000004,9
97,"[1, 44, 48, 17, 74, 124, 12, 137, 130, 54]",22665.4605,10
98,"[1, 48, 96, 17, 73, 12, 137, 130, 54]",22853.445,9
99,"[1, 48, 17, 73, 12, 149, 137, 130, 54]",22863.625500000002,9
100,"[1, 48, 96, 46, 154, 91, 137, 130, 54]",22931.673000000003,9
101,"[1, 110, 144, 151, 69]",9638.68,5
102,"[1, 110, 144, 151, 150, 69]",11173.706,6
103,"[1, 110, 144, 156, 159, 69]",11593.322,6
104,"[1, 110, 144, 151, 159, 69]",11788.529,6
105,"[1, 110, 144, 27, 150, 69]",12218.715,6
106,"[1, 110, 144, 27, 151, 69]",12415.729500000001,6
107,"[1, 110, 47, 144, 151, 69]",12559.728500000001,6
108,"[1, 110, 144, 27, 45, 87, 150, 69]",13095.554,8
109,"[1, 110, 144, 27, 87, 150, 69]",13095.554,7
110,"[1, 110, 144, 156, 151, 69]",13706.7755,6
111,"[1, 110, 144, 27, 45, 87]",8120.2605,6
112,"[1, 110, 144, 27, 87]",8120.2605,5
113,"[1, 110, 144, 151, 150, 87]",10235.870499999999,6
114,"[1, 109, 116, 24, 87]",10450.9905,5
115,"[1, 44, 109, 116, 24, 87]",10934.768,6
116,"[1, 110, 47, 144, 27, 45, 87]",11041.309000000001,7
117,"[1, 110, 47, 144, 27, 87]",11041.309000000001,6
118,"[1, 110, 144, 27, 150, 87]",11280.8795,6
119,"[1, 109, 116, 24, 45, 87]",11496.8755,6
120,"[1, 109, 27, 87]",11671.080000000002,4
121,"[1, 110, 66, 63, 90]",12303.710500000001,5
122,"[1, 110, 47, 66, 63, 90]",12749.6365,6
123,"[1, 48, 17, 93, 90]",12795.4225,5
124,"[1, 110, 144, 47, 66, 63, 90]",12928.04,7
125,"[1, 48, 17, 73, 90]",13091.3305,5
126,"[1, 44, 48, 17, 93, 90]",13292.301,6
127,"[1, 48, 17, 42, 63, 90]",13535.938000000002,6
128,"[1, 48, 17, 93, 73, 90]",13545.552500000002,6
129,"[1, 44, 48, 17, 73, 90]",13588.208999999999,6
130,"[1, 48, 17, 93, 63, 90]",13744.362500000003,6
131,"[1, 48, 96, 46, 154, 91]",13566.7905,6
